Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
0.0	0.054469205	0.05129403	-0.0071205497	0.043268032	-0.046020746	0.0629756	0.03382884
3.0	0.0385708	0.0654397	0.008064508	0.0489076	-0.063552365	0.04022175	0.028171748
6.0	0.03201598	0.062193215	0.0064613223	0.01412718	-0.05571559	0.024047494	0.00576064
9.0	0.0287932	0.045817018	-0.011232257	-0.008835658	-0.07190409	-0.0012984574	-0.017034292
12.0	0.05527091	0.038887203	0.011724472	0.015317902	-0.051971823	0.010807782	0.00809139
15.0	0.004637882	0.011095703	-0.020799339	-0.011855692	-0.068789124	-0.0056904256	-0.030156434
18.0	0.022128403	0.025865316	0.023584522	-0.021728575	-0.05145949	-0.009785503	-0.020438105
21.0	0.026320994	0.026257932	0.018807508	-0.0047003925	-0.050717294	-0.02055198	-0.021582812
24.0	0.018132135	0.052941263	0.02721624	-0.009430945	-0.05031085	-0.026225	-0.0076780617
27.0	0.03358278	0.069668174	0.012150176	-0.015929013	-0.04825902	-0.01429224	-0.02918017
30.0	0.04642486	0.07582524	0.021119282	-0.01913321	-0.0561803	-0.00993526	-0.03129661
33.0	0.07444996	0.10869461	0.038638398	-0.012459964	-0.0382753	0.010094702	-0.016685963
36.0	0.08122039	0.11291832	0.06767899	0.009215057	-0.034344614	0.020239353	-0.014903784
